"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","199","returns product data from storefront JSON endpoint","Sauce Demo Shopify - Products API","Sun May 03 18:49:01 UTC 2026","passed","Sun May 03 18:49:01 UTC 2026","","","",""
"","427","product variants contain price as string","Sauce Demo Shopify - Collections API","Sun May 03 18:48:25 UTC 2026","passed","Sun May 03 18:48:25 UTC 2026","","","",""
"","10705","cart form exists on cart page","Sauce Demo Shopify - Cart","Sun May 03 18:48:10 UTC 2026","failed","Sun May 03 18:48:20 UTC 2026","","","",""
"","1376","shows product price on product page","Sauce Demo Shopify - Product Details","Sun May 03 18:48:30 UTC 2026","passed","Sun May 03 18:48:31 UTC 2026","","","",""
"","2111","cart page loads successfully via direct navigation","Sauce Demo Shopify - Cart","Sun May 03 18:47:56 UTC 2026","passed","Sun May 03 18:47:58 UTC 2026","","","",""
"","173","products endpoint respects limit param","Sauce Demo Shopify - Collections API","Sun May 03 18:48:25 UTC 2026","passed","Sun May 03 18:48:26 UTC 2026","","","",""
"","1548","shows product title on product page","Sauce Demo Shopify - Product Details","Sun May 03 18:48:28 UTC 2026","passed","Sun May 03 18:48:30 UTC 2026","","","",""
"","1209","navigates to a product page and validates buy form","Sauce Demo Shopify - Product navigation","Sun May 03 18:48:57 UTC 2026","passed","Sun May 03 18:48:59 UTC 2026","","","",""
"","165","cart JSON API returns valid structure","Sauce Demo Shopify - Cart","Sun May 03 18:47:59 UTC 2026","passed","Sun May 03 18:47:59 UTC 2026","","","",""
"","211","returns collections list with valid schema","Sauce Demo Shopify - Collections API","Sun May 03 18:48:25 UTC 2026","passed","Sun May 03 18:48:25 UTC 2026","","","",""
"","11242","shows product images from Shopify CDN","Sauce Demo Shopify - Product Details","Sun May 03 18:48:43 UTC 2026","failed","Sun May 03 18:48:54 UTC 2026","","","",""
"","901","loads homepage and shows core storefront elements","Sauce Demo Shopify - Smoke","Sun May 03 18:49:04 UTC 2026","passed","Sun May 03 18:49:05 UTC 2026","","","",""
"","1525","adds product to cart via UI and cart API reflects state","Sauce Demo Shopify - Cart","Sun May 03 18:48:20 UTC 2026","passed","Sun May 03 18:48:22 UTC 2026","","","",""
"","181","returns product data with complete field schema including variants and images","Sauce Demo Shopify - Collections API","Sun May 03 18:48:25 UTC 2026","passed","Sun May 03 18:48:25 UTC 2026","","","",""
"","1129","shows add to cart form with submit button","Sauce Demo Shopify - Product Details","Sun May 03 18:48:54 UTC 2026","passed","Sun May 03 18:48:55 UTC 2026","","","",""
