"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10694","cart form exists on cart page","Sauce Demo Shopify - Cart","Sun May 03 21:32:00 UTC 2026","failed","Sun May 03 21:32:11 UTC 2026","","","",""
"","13547","deve preencher o formulario de registro e clicar em Submit","Automation Testing Demo - Login","Sun May 03 21:32:40 UTC 2026","broken","Sun May 03 21:32:53 UTC 2026","","","",""
"","11199","shows product images from Shopify CDN","Sauce Demo Shopify - Product Details","Sun May 03 21:33:09 UTC 2026","failed","Sun May 03 21:33:20 UTC 2026","","","",""
"","1212","navigates to a product page and validates buy form","Sauce Demo Shopify - Product navigation","Sun May 03 21:33:24 UTC 2026","passed","Sun May 03 21:33:25 UTC 2026","","","",""
"","242","products endpoint respects limit param","Sauce Demo Shopify - Collections API","Sun May 03 21:32:16 UTC 2026","passed","Sun May 03 21:32:16 UTC 2026","","","",""
"","1374","adds product to cart via UI and cart API reflects state","Sauce Demo Shopify - Cart","Sun May 03 21:32:11 UTC 2026","passed","Sun May 03 21:32:13 UTC 2026","","","",""
"","148","returns product data with complete field schema including variants and images","Sauce Demo Shopify - Collections API","Sun May 03 21:32:15 UTC 2026","passed","Sun May 03 21:32:15 UTC 2026","","","",""
"","825","loads homepage and shows core storefront elements","Sauce Demo Shopify - Smoke","Sun May 03 21:33:30 UTC 2026","passed","Sun May 03 21:33:31 UTC 2026","","","",""
"","159","returns collections list with valid schema","Sauce Demo Shopify - Collections API","Sun May 03 21:32:15 UTC 2026","passed","Sun May 03 21:32:15 UTC 2026","","","",""
"","129","product variants contain price as string","Sauce Demo Shopify - Collections API","Sun May 03 21:32:15 UTC 2026","passed","Sun May 03 21:32:16 UTC 2026","","","",""
"","1071","shows product price on product page","Sauce Demo Shopify - Product Details","Sun May 03 21:32:57 UTC 2026","passed","Sun May 03 21:32:58 UTC 2026","","","",""
"","1608","deve carregar a pagina inicial e exibir o formulario de login","Automation Testing Demo - Login","Sun May 03 21:32:21 UTC 2026","passed","Sun May 03 21:32:23 UTC 2026","","","",""
"","3032","deve preencher o email, clicar em entrar e carregar a tela de registro","Automation Testing Demo - Login","Sun May 03 21:32:23 UTC 2026","passed","Sun May 03 21:32:26 UTC 2026","","","",""
"","1991","cart page loads successfully via direct navigation","Sauce Demo Shopify - Cart","Sun May 03 21:31:47 UTC 2026","passed","Sun May 03 21:31:49 UTC 2026","","","",""
"","162","cart JSON API returns valid structure","Sauce Demo Shopify - Cart","Sun May 03 21:31:50 UTC 2026","passed","Sun May 03 21:31:50 UTC 2026","","","",""
"","165","returns product data from storefront JSON endpoint","Sauce Demo Shopify - Products API","Sun May 03 21:33:28 UTC 2026","passed","Sun May 03 21:33:28 UTC 2026","","","",""
"","1196","shows add to cart form with submit button","Sauce Demo Shopify - Product Details","Sun May 03 21:33:20 UTC 2026","passed","Sun May 03 21:33:22 UTC 2026","","","",""
"","1251","shows product title on product page","Sauce Demo Shopify - Product Details","Sun May 03 21:32:56 UTC 2026","passed","Sun May 03 21:32:57 UTC 2026","","","",""
