"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1235","shows product title on product page","Sauce Demo Shopify - Product Details","Fri May 08 17:06:40 UTC 2026","passed","Fri May 08 17:06:41 UTC 2026","","","",""
"","2523","cart page loads successfully via direct navigation","Sauce Demo Shopify - Cart","Fri May 08 17:06:08 UTC 2026","passed","Fri May 08 17:06:10 UTC 2026","","","",""
"","948","loads homepage and shows core storefront elements","Sauce Demo Shopify - Smoke","Fri May 08 17:07:15 UTC 2026","passed","Fri May 08 17:07:16 UTC 2026","","","",""
"","1168","navigates to a product page and validates buy form","Sauce Demo Shopify - Product navigation","Fri May 08 17:07:08 UTC 2026","passed","Fri May 08 17:07:09 UTC 2026","","","",""
"","11249","shows product images from Shopify CDN","Sauce Demo Shopify - Product Details","Fri May 08 17:06:53 UTC 2026","failed","Fri May 08 17:07:04 UTC 2026","","","",""
"","192","returns product data from storefront JSON endpoint","Sauce Demo Shopify - Products API","Fri May 08 17:07:12 UTC 2026","passed","Fri May 08 17:07:12 UTC 2026","","","",""
"","1068","shows add to cart form with submit button","Sauce Demo Shopify - Product Details","Fri May 08 17:07:05 UTC 2026","passed","Fri May 08 17:07:06 UTC 2026","","","",""
"","168","product variants contain price as string","Sauce Demo Shopify - Collections API","Fri May 08 17:06:37 UTC 2026","passed","Fri May 08 17:06:37 UTC 2026","","","",""
"","173","returns collections list with valid schema","Sauce Demo Shopify - Collections API","Fri May 08 17:06:36 UTC 2026","passed","Fri May 08 17:06:36 UTC 2026","","","",""
"","191","returns product data with complete field schema including variants and images","Sauce Demo Shopify - Collections API","Fri May 08 17:06:36 UTC 2026","passed","Fri May 08 17:06:37 UTC 2026","","","",""
"","199","products endpoint respects limit param","Sauce Demo Shopify - Collections API","Fri May 08 17:06:37 UTC 2026","passed","Fri May 08 17:06:37 UTC 2026","","","",""
"","1660","adds product to cart via UI and cart API reflects state","Sauce Demo Shopify - Cart","Fri May 08 17:06:32 UTC 2026","passed","Fri May 08 17:06:34 UTC 2026","","","",""
"","10664","cart form exists on cart page","Sauce Demo Shopify - Cart","Fri May 08 17:06:21 UTC 2026","failed","Fri May 08 17:06:32 UTC 2026","","","",""
"","185","cart JSON API returns valid structure","Sauce Demo Shopify - Cart","Fri May 08 17:06:10 UTC 2026","passed","Fri May 08 17:06:11 UTC 2026","","","",""
"","986","shows product price on product page","Sauce Demo Shopify - Product Details","Fri May 08 17:06:41 UTC 2026","passed","Fri May 08 17:06:42 UTC 2026","","","",""
